Host Country,United States of America,United Kingdom
Panama,1. Registration at Immigration Authorities; 2. Residence Visa Application; 3. Provisional ID Card and Re-Entry Permit Application; 4. Biometric Registration at Ministry of Labour; 5. Labour Immigration Department Affiliation; 6. Work Permit Application; 7. Work Permit ID Collection; 8. Temporary Residence ID Card Collection [Visa and Work Permit (10% Ordinary Employees)]; 1. Registration at Immigration Authorities; 2. Residence Visa Application; 3. Provisional ID Card and Re-Entry Permit Application and Collection; 4. Biometric Registration at Ministry of Labour; 5. Labour Immigration Department Affiliation; 6. Work Permit Application; 7. Work Permit ID Collection; 8. Visa Endorsement and Temporary Residence ID Card Collection [Visa and Work Permit (15% Qualified Employees)]; 1. Registration at Immigration Authorities; 2. Residence Visa Application; 3. Provisional ID Card and Re-Entry Permit Application; 4. Temporary Residence ID Card Application and Collection [SEM Visa (Multinational Headquarters)]; 1. Registration at Immigration Authorities; 2. Residence Visa Application; 3. Provisional ID Card and Re-Entry Permit Application; 4. Permanent Residence ID Card Collection; 5. Biometric Registration at Ministry of Labour; 6. Labour Immigration Department Affiliation; 7. Work Permit Application; 8. Panamanian ID Card Application; 9. Panamanian ID Card Collection; 10. Work Permit ID Collection [Permanent Residence ('Friendly Countries' or Paises Amigos)]; 1. Registration at Immigration Authorities; 2. Biometric Registration at Ministry of Labour; 3. Labour Immigration Department Affiliation; 4. Work Permit Application; 5. Transit Visa Application; 6. Work Permit ID Collection; 7. Transit Visa ID Card Collection [Transit Visa and Work Permit (Short-Term Process)],1. Registration at Immigration Authorities; 2. Residence Visa Application; 3. Provisional ID Card and Re-Entry Permit Application; 4. Biometric Registration at Ministry of Labour; 5. Labour Immigration Department Affiliation; 6. Work Permit Application; 7. Work Permit ID Collection; 8. Temporary Residence ID Card Collection [Visa and Work Permit (10% Ordinary Employees)]; 1. Registration at Immigration Authorities; 2. Residence Visa Application; 3. Provisional ID Card and Re-Entry Permit Application and Collection; 4. Biometric Registration at Ministry of Labour; 5. Labour Immigration Department Affiliation; 6. Work Permit Application; 7. Work Permit ID Collection; 8. Visa Endorsement and Temporary Residence ID Card Collection [Visa and Work Permit (15% Qualified Employees)]; 1. Registration at Immigration Authorities; 2. Residence Visa Application; 3. Provisional ID Card and Re-Entry Permit Application; 4. Temporary Residence ID Card Application and Collection [SEM Visa (Multinational Headquarters)]; 1. Registration at Immigration Authorities; 2. Residence Visa Application; 3. Provisional ID Card and Re-Entry Permit Application; 4. Permanent Residence ID Card Collection; 5. Biometric Registration at Ministry of Labour; 6. Labour Immigration Department Affiliation; 7. Work Permit Application; 8. Panamanian ID Card Application; 9. Panamanian ID Card Collection; 10. Work Permit ID Collection [Permanent Residence ('Friendly Countries' or Paises Amigos)]; 1. Registration at Immigration Authorities; 2. Biometric Registration at Ministry of Labour; 3. Labour Immigration Department Affiliation; 4. Work Permit Application; 5. Transit Visa Application; 6. Work Permit ID Collection; 7. Transit Visa ID Card Collection [Transit Visa and Work Permit (Short-Term Process)]
Paraguay,1. Visitor Visa Application; 2. Temporary Residence and ID Card Application; 3. Temporary Residence Card Issuance [Temporary Residence (Residencia Temporaria) ]; 1. Visitor Visa Application; 2. Permanent Residence and ID Card Application; 3. Permanent Residence Card Issuance; 4. Paraguayan ID Card (Cédula de Identidad) Application; 5. Paraguayan ID Card Collection [Permanent Residence (Residencia Permanente)]; 1. Visitor Visa Application; 2. Provisional Residence Application; 3. Provisional Residence Issuance [Provisional Residence (Residencia Precaria) ],1. Temporary Residence and Residence ID Card Application; 2. Temporary Residence Card Issuance [Temporary Residence (Residencia Temporaria) ]; 1. Permanent Residence and ID Card Application; 2. Permanent Residence Card Issuance; 3. Paraguayan ID Card (Cédula de Identidad) Application; 4. Paraguayan ID Card Collection [Permanent Residence (Residencia Permanente)]; 1. Provisional Residence Application; 2. Provisional Residence Issuance [Provisional Residence (Residencia Precaria) ]
Peru,1. Business Visa Application; 2. Change of Status Application; 3. ID Card Application and Collection [Residence Visa for Assignees (Post-Arrival Change of Status)]; 1. Residence Visa Application; 2. ID Card Application and Collection [Residence Visa for Assignees (Consular Application)]; 1. Temporary Visa Application; 2. Temporary Visa Collection [Temporary Visa for Assignees (Consular Application)]; 1. Business Visa Application; 2. Change of Status Application; 3. ID Card Application and Collection [Residence Visa for Local Hires (Post-Arrival Change of Status)]; 1. Business Visa Application; 2. Change of Status Application; 3. Temporary Permit Collection [Temporary Visa for Assignees (Post-Arrival Change of Status)]; 1. Residence Visa Application; 2. Residence Visa Collection; 3. ID Card Application and Collection [Residence Visa for Local Hires (Consular Application)],1. Business Visa Application; 2. Change of Status Application; 3. ID Card Application and Collection [Residence Visa for Assignees (Post-Arrival Change of Status)]; 1. Residence Visa Application; 2. ID Card Application and Collection [Residence Visa for Assignees (Consular Application)]; 1. Temporary Visa Application; 2. Temporary Visa Collection [Temporary Visa for Assignees (Consular Application)]; 1. Business Visa Application; 2. Change of Status Application; 3. ID Card Application and Collection [Residence Visa for Local Hires (Post-Arrival Change of Status)]; 1. Business Visa Application; 2. Change of Status Application; 3. Temporary Permit Collection [Temporary Visa for Assignees (Post-Arrival Change of Status)]; 1. Residence Visa Application; 2. Residence Visa Collection; 3. ID Card Application and Collection [Residence Visa for Local Hires (Consular Application)]
Philippines,1. Special Work Permit Application; 2. Application for Alien Certificate of Registration (ACR I-Card) [Special Work Permit]; 1. Alien Employment Permit Application; 2. Provisional Work Permit Application; 3. 9(g) Pre-Arranged Employment Visa Application; 4. Application for Alien Certificate of Registration (ACR I-Card) [9(g) Pre-Arranged Employment Visa (Commercial)]; 1. Multiple Entry Special Visa Application [Multiple Entry Special Visa (MESV)]; 1. Alien Employment Permit Application; 2. Provisional Work Permit Application; 3. Special Non-Immigrant 47(a)(2) Visa Application [Special Non-Immigrant 47(a)(2) Visa]; 1. Certificate of Exclusion or Exemption Application; 2. Provisional Work Permit Application; 3. Special Non-Immigrant 47(a)(2) Visa Application [Special Non-Immigrant 47(a)(2) Visa (Work Permit Exempt Positions)]; 1. Certificate of Exclusion or Exemption Application; 2. Provisional Work Permit Application; 3. 9(g) Pre-Arranged Employment Visa Application; 4. Application for Alien Certificate of Registration (ACR I-Card) [9(g) Pre-Arranged Employment Visa (Commercial) (Work Permit Exempt Occupations)],1. Special Work Permit Application; 2. Application for Alien Certificate of Registration (ACR I-Card) [Special Work Permit]; 1. Alien Employment Permit Application; 2. Provisional Work Permit Application; 3. 9(g) Pre-Arranged Employment Visa Application; 4. Application for Alien Certificate of Registration (ACR I-Card) [9(g) Pre-Arranged Employment Visa (Commercial)]; 1. Multiple Entry Special Visa Application [Multiple Entry Special Visa (MESV)]; 1. Alien Employment Permit Application; 2. Provisional Work Permit Application; 3. Special Non-Immigrant 47(a)(2) Visa Application [Special Non-Immigrant 47(a)(2) Visa]; 1. Certificate of Exclusion or Exemption Application; 2. Provisional Work Permit Application; 3. Special Non-Immigrant 47(a)(2) Visa Application [Special Non-Immigrant 47(a)(2) Visa (Work Permit Exempt Positions)]; 1. Certificate of Exclusion or Exemption Application; 2. Provisional Work Permit Application; 3. 9(g) Pre-Arranged Employment Visa Application; 4. Application for Alien Certificate of Registration (ACR I-Card) [9(g) Pre-Arranged Employment Visa (Commercial) (Work Permit Exempt Occupations)]
Poland,1. Intra-Company Transfer Work Permit Application; 2. Visa Type D Application; 3. Posted Worker Notification; 4. Address Registration [Work Permit (Type C) for Intra-Company Transfer (Consular Application)]; 1. Posted Worker Notification; 2. Address Registration [Work Permit Exemption for Intra-Company Transfer (Under 30 Days)]; 1. Visa Type D Application; 2. Address Registration [Work Permit Exemption for Management Board Members (Type B)]; 1. Local Labour Market Search; 2. Local Hire Work Permit Application; 3. Visa Type D Application; 4. Address Registration [Local Hire Work Permit (Type A) Consular Application]; 1. Local Labour Market Search Application; 2. Address Registration; 3. Work and Residence Permit Application [Local Hire Work and Residence Permit (Type A) Application in Country]; 1. Local Labour Market Search; 2. Entry Visa Application; 3. Address Registration; 4. Blue Card Application; 5. Residence Permit Application for Dependents [Blue Card]; 1. Visa Type D Application; 2. Posted Worker Notification; 3. Address Registration; 4. Residence Permit Application; 5. Residence Permit Card Collection [Van der Elst (Assignment from Within the EEA Over 90 Days)]; 1. Service Provider Work Permit Application; 2. Visa Type D Application; 3. Posted Worker Notification; 4. Address Registration [Service Provider Work Permit (Type D) Consular Application ]; 1. Intra-Company Transfer Residence Permit Application; 2. Visa Type D Application; 3. Posted Worker Notification; 4. Residence Card Application Appointment Booking; 5. Address Registration; 6. Residence Card Application [Intra-Company Transfer Permit (EU Directive 2014/66)],1. Intra-Company Transfer Work Permit Application; 2. Visa Type D Application; 3. Posted Worker Notification; 4. Address Registration [Work Permit (Type C) for Intra-Company Transfer (Consular Application)]; 1. Posted Worker Notification; 2. Address Registration [Work Permit Exemption for Intra-Company Transfer (Under 30 Days)]; 1. Visa Type D Application; 2. Address Registration [Work Permit Exemption for Management Board Members (Type B)]; 1. Local Labour Market Search; 2. Local Hire Work Permit Application; 3. Visa Type D Application; 4. Address Registration [Local Hire Work Permit (Type A) Consular Application]; 1. Local Labour Market Search Application; 2. Address Registration; 3. Work and Residence Permit Application [Local Hire Work and Residence Permit (Type A) Application in Country]; 1. Local Labour Market Search; 2. Entry Visa Application; 3. Address Registration; 4. Blue Card Application; 5. Residence Permit Application for Dependents [Blue Card]; 1. Visa Type D Application; 2. Posted Worker Notification; 3. Address Registration; 4. Residence Permit Application; 5. Residence Permit Card Collection [Van der Elst (Assignment from Within the EEA Over 90 Days)]; 1. Service Provider Work Permit Application; 2. Visa Type D Application; 3. Posted Worker Notification; 4. Address Registration [Service Provider Work Permit (Type D) Consular Application ]; 1. Intra-Company Transfer Residence Permit Application; 2. Visa Type D Application; 3. Posted Worker Notification; 4. Residence Card Application Appointment Booking; 5. Address Registration; 6. Residence Card Application [Intra-Company Transfer Permit (EU Directive 2014/66)]
Portugal,1. Posted Worker Notification (If Applicable); 2. Temporary Stay Visa Application [Temporary Stay Visa (Service Providers) ]; 1. Posted Worker Notification (If Applicable); 2. Temporary Stay Visa Application [Temporary Stay Visa (Highly Qualified Activities)]; 1. Residence Visa Application; 2. Residence Visa Collection; 3. Blue Card Application; 4. Residence Permits for Dependents [Blue Card (Cartão Azul)]; 1. Temporary Stay Visa Application; 2. Posted Worker Notification [Temporary Stay Visa (Intra-Company Transfer)]; 1. Residence Visa Application; 2. Posted Worker Notification; 3. Residence Permit Application; 4. Residence Permits for Dependents [Residence Visa (Highly Qualified)]; 1. EU ICT Residence Permit Application; 2. Posted Worker Notification [Intra-Corporate Transferee Permit (EU Directive 2014/66)]; 1. Posted Worker Notification; 2. Declaration of Arrival and Notification of Employment [Van der Elst (Assignment from Within the EEA)],1. Posted Worker Notification (If Applicable); 2. Temporary Stay Visa Application [Temporary Stay Visa (Service Providers) ]; 1. Posted Worker Notification (If Applicable); 2. Temporary Stay Visa Application [Temporary Stay Visa (Highly Qualified Activities)]; 1. Residence Visa Application; 2. Residence Visa Collection; 3. Blue Card Application; 4. Residence Permits for Dependents [Blue Card (Cartão Azul)]; 1. Residence Visa Application; 2. Posted Worker Notification; 3. Residence Permit Application; 4. Residence Permits for Dependents [Residence Visa (Highly Qualified)]; 1. EU ICT Residence Permit Application; 2. Posted Worker Notification [Intra-Corporate Transferee Permit (EU Directive 2014/66)]; 1. Posted Worker Notification; 2. Declaration of Arrival and Notification of Employment [Van der Elst (Assignment from Within the EEA)]
Qatar,1. Work Visa Approval Application; 2. Medical Examination; 3. Online Residence Card Application; 4. Attestation of Employment Contract; 5. Family Visa Approval; 6. Medical Examination (Dependents); 7. Online Residence Card Application (Dependents) [Work Visa and Residence Card]; 1. Business Visa Application [Business Visa (Up to 90 Days)],1. Work Visa Approval Application; 2. Medical Examination; 3. Online Residence Card Application; 4. Attestation of Employment Contract; 5. Family Visa Approval; 6. Medical Examination (Dependents); 7. Online Residence Card Application (Dependents) [Work Visa and Residence Card]; 1. Business Visa Application [Business Visa (Up to 90 Days)]
Romania,1. Local Labour Market Search; 2. Application for Employment Approval (Local Hire); 3. Residence Permit Application; 4. Family Reunification Application for Dependents; 5. Visa Type D/VF Application for Dependents; 6. Residence Permit Application for Dependents [Work Permit (Local Hire)]; 1. Acknowledgement of Studies; 2. Secondment Approval Application; 3. Posted Worker Notification; 4. Residence Permit Application; 5. Family Reunification Application for Dependents; 6. Visa Type D/VF Application for Dependents; 7. Residence Permit Application for Dependents [Work Permit (Assignee)]; 1. Posted Worker Notification; 2. Residence Permit Application; 3. Family Reunification Application for Dependents; 4. Visa Type D/VF Application for Dependents; 5. Residence Permit Application for Dependents [Van der Elst (Assignment from Within the EEA) ]; 1. Acknowledgement of Studies; 2. Application for Employment Approval for Highly Skilled Workers; 3. Blue Card Application; 4. Family Reunification Application for Dependents; 5. Visa Type D/VF Application for Dependents; 6. Entry to Romania for Dependents; 7. Blue Card Application for Dependents [Blue Card]; 1. Acknowledgement of Studies; 2. ICT Secondment Approval Application; 3. Posted Worker Notification; 4. Residence Permit Application; 5. Family Reunification Application for Dependents; 6. Visa Type D/VF Application for Dependents; 7. Residence Permit Application for Dependents [Intra-Company Transfer Permit (EU Directive 2014/66)],1. Local Labour Market Search; 2. Application for Employment Approval (Local Hire); 3. Visa Type D/AM Application; 4. Residence Permit Application; 5. Family Reunification Application for Dependents; 6. Visa Type D/VF Application for Dependents; 7. Residence Permit Application for Dependents [Work Permit (Local Hire)]; 1. Acknowledgement of Studies; 2. Secondment Approval Application; 3. Visa Type D/DT Application; 4. Posted Worker Notification; 5. Residence Permit Application; 6. Family Reunification Application for Dependents; 7. Visa Type D/VF Application for Dependents; 8. Residence Permit Application for Dependents [Work Permit (Assignee)]; 1. Visa Type D/DT Application; 2. Posted Worker Notification; 3. Residence Permit Application; 4. Family Reunification Application for Dependents; 5. Visa Type D/VF Application for Dependents; 6. Residence Permit Application for Dependents [Van der Elst (Assignment from Within the EEA) ]; 1. Acknowledgement of Studies; 2. Application for Employment Approval for Highly Skilled Workers; 3. Visa Type D/AM Application; 4. Blue Card Application; 5. Family Reunification Application for Dependents; 6. Visa Type D/VF Application for Dependents; 7. Entry to Romania for Dependents; 8. Blue Card Application for Dependents [Blue Card]; 1. Acknowledgement of Studies; 2. ICT Secondment Approval Application; 3. Visa Type D/DT Application; 4. Posted Worker Notification; 5. Residence Permit Application; 6. Family Reunification Application for Dependents; 7. Visa Type D/VF Application for Dependents; 8. Residence Permit Application for Dependents [Intra-Company Transfer Permit (EU Directive 2014/66)]
Russia,1. Local Labour Market Search; 2. Company Work Permit Application; 3. Accreditation Card Application; 4. Immigration Medical; 5. Russian Language and Knowledge Examination; 6. Personal Work Permit Application; 7. Visa Invitation Letter Application; 8. Visa Application; 9. Visa Application; 10. Registration; 11. Visa Extension Application [Work Permit and Accreditation Card (Rep Office)]; 1. Local Labour Market Search; 2. Company Work Permit Application; 3. Immigration Medical; 4. Russian Language and Knowledge Examination; 5. Personal Work Permit Application; 6. Visa Invitation Letter Application; 7. Visa Application; 8. Contract Notification; 9. Address Registration; 10. Visa Extension Application [Standard Work Permit (Ltd or Branch Office)]; 1. Contract Signing and Notification; 2. Work Permit Application; 3. Visa Invitation Letter Application; 4. Visa Application; 5. Migration Registration [Highly Qualified Specialist Work Permit]; 1. Visa Invitation Letter Application; 2. Visa Application; 3. Visa Application; 4. Registration [Technical Support Visa (Under 90 Days)],1. Local Labour Market Search; 2. Company Work Permit Application; 3. Accreditation Card Application; 4. Immigration Medical; 5. Russian Language and Knowledge Examination; 6. Personal Work Permit Application; 7. Visa Invitation Letter Application; 8. Visa Application; 9. Visa Application; 10. Registration; 11. Visa Extension Application [Work Permit and Accreditation Card (Rep Office)]; 1. Local Labour Market Search; 2. Company Work Permit Application; 3. Immigration Medical; 4. Russian Language and Knowledge Examination; 5. Personal Work Permit Application; 6. Visa Invitation Letter Application; 7. Visa Application; 8. Contract Notification; 9. Address Registration; 10. Visa Extension Application [Standard Work Permit (Ltd or Branch Office)]; 1. Contract Signing and Notification; 2. Work Permit Application; 3. Visa Invitation Letter Application; 4. Visa Application; 5. Migration Registration [Highly Qualified Specialist Work Permit]; 1. Visa Invitation Letter Application; 2. Visa Application; 3. Visa Application; 4. Registration [Technical Support Visa (Under 90 Days)]
Saudi Arabia,1. Working Visa Pre-Approval Application; 2. Working Visa Consular Application; 3. Working Visa Consular Application; 4. Residence Permit (Muqeem) Application; 5. Exit and Re-Entry Visa; 6. Family Visit Visa Application; 7. Family Visit Visa Consular Applications; 8. Family Visit Visa Consular Applications; 9. Residence Permit (Muqeem) for Dependents [Working Visa with Residence Permit],1. Working Visa Pre-Approval Application; 2. Working Visa Consular Application; 3. Working Visa Consular Application; 4. Residence Permit (Muqeem) Application; 5. Exit and Re-Entry Visa; 6. Family Visit Visa Application; 7. Family Visit Visa Consular Applications; 8. Family Visit Visa Consular Applications; 9. Residence Permit (Muqeem) for Dependents [Working Visa with Residence Permit]
Singapore,"1. Register with EP Online (Optional); 2. Application for Employment Pass; 3. Biometric Registration [Employment Pass (SGD 12,000+ per month)]; 1. Register with EP Online (Optional); 2. Application for Employment Pass (and Dependant's Pass); 3. Biometric Registration [Employment Pass (SGD 6,000 - 11,999 per month)]; 1. Register with EP Online (Optional); 2. Application for Employment Pass; 3. Biometric Registration Appointment [Employment Pass (SGD 4,500 - 5,999 per month)]; 1. Application for Personalised Employment Pass (PEP); 2. Biometric Registration [Personalised Employment Pass (PEP)]; 1. S Pass Application; 2. Biometric Registration Appointment [S Pass]","1. Register with EP Online (Optional); 2. Application for Employment Pass; 3. Biometric Registration [Employment Pass (SGD 12,000+ per month)]; 1. Register with EP Online (Optional); 2. Application for Employment Pass (and Dependant's Pass); 3. Biometric Registration [Employment Pass (SGD 6,000 - 11,999 per month)]; 1. Register with EP Online (Optional); 2. Application for Employment Pass; 3. Biometric Registration Appointment [Employment Pass (SGD 4,500 - 5,999 per month)]; 1. Application for Personalised Employment Pass (PEP); 2. Biometric Registration [Personalised Employment Pass (PEP)]; 1. S Pass Application; 2. Biometric Registration Appointment [S Pass]"
Slovakia,1. Application for Temporary Residence Permit for ICT [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Labour Market Search; 2. Single Permit Application [Single Permit (Local Hire) Change of Status]; 1. Labour Market Search; 2. Single Permit Application [Single Permit (Local Hire) Consular Application ]; 1. Labour Market Search; 2. Blue Card Application; 3. National D Visa Endorsement [Blue Card (Consular Application) ]; 1. Labour Market Search; 2. Blue Card Application [Blue Card (Change of Status)],1. Application for Temporary Residence Permit for ICT [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Labour Market Search; 2. Single Permit Application [Single Permit (Local Hire) Change of Status]; 1. Labour Market Search; 2. Single Permit Application [Single Permit (Local Hire) Consular Application ]; 1. Labour Market Search; 2. Blue Card Application; 3. National D Visa Endorsement [Blue Card (Consular Application) ]; 1. Labour Market Search; 2. Blue Card Application [Blue Card (Change of Status)]
Slovenia,1. Residence Permit Application; 2. Posted Worker Notification; 3. Address Registration [Van der Elst (Assignment from Within the EEA/EFTA)]; 1. Work and Residence Permit Application; 2. Address Registration [Work and Residence Permit (Local Hire)]; 1. Address Registration with Police; 2. Blue Card Application; 3. Address Registration; 4. Temporary Residence Applications (Dependents) [Blue Card (Application in Country)]; 1. ICT Permit Application; 2. Address Registration; 3. Temporary Residence Applications (Dependents) [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Work and Residence Permit Application; 2. Address Registration with Police or Local Administrative Unit [Work Permit (Cross-Border Services to Client) up to 90 Days],1. Residence Permit Application; 2. Posted Worker Notification; 3. Address Registration [Van der Elst (Assignment from Within the EEA/EFTA)]; 1. Work and Residence Permit Application; 2. Address Registration [Work and Residence Permit (Local Hire)]; 1. Address Registration with Police; 2. Blue Card Application; 3. Address Registration; 4. Temporary Residence Applications (Dependents) [Blue Card (Application in Country)]; 1. ICT Permit Application; 2. Address Registration; 3. Temporary Residence Applications (Dependents) [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Work and Residence Permit Application; 2. Address Registration with Police or Local Administrative Unit [Work Permit (Cross-Border Services to Client) up to 90 Days]
South Africa,"1. Port of Entry (Visitor's Visa 11(2)) Visa Application; 2. Entry to South Africa [Short-Term Work (Visitor's Visa, Section 11 (2)) ]; 1. Intra-Company Transfer Work Visa Application; 2. Study Visa Application [Intra-Company Transfer Work Visa]; 1. Department of Labour Certification Application; 2. General Work Visa Application; 3. Study Visa Application [General Work Visa (Local Hire)]; 1. Critical Skills Work Visa Application; 2. Study Visa Application [Critical Skills Work Visa]","1. Port of Entry (Visitor's Visa 11(2)) Visa Application; 2. Entry to South Africa [Short-Term Work (Visitor's Visa, Section 11 (2)) ]; 1. Intra-Company Transfer Work Visa Application; 2. Study Visa Application [Intra-Company Transfer Work Visa]; 1. Department of Labour Certification Application; 2. General Work Visa Application; 3. Study Visa Application [General Work Visa (Local Hire)]; 1. Critical Skills Work Visa Application; 2. Study Visa Application [Critical Skills Work Visa]"
South Korea,1. Visa Issuance Confirmation Number (VICN) Application; 2. D-7 Intra-Company Transferee Entry Visa Application; 3. Alien Registration Card Application [D-7 Visa for Intra-Company Transfer]; 1. D-8 Inter-Company Transfer Visa Application; 2. Alien Registration Card Application [D-8 Visa for Inter-Company Transfer]; 1. Visa Issuance Confirmation Number (VICN) Application; 2. D-9 Treaty Trader Entry Visa Application; 3. Alien Registration Card Application [D-9 Visa (Treaty Trader)]; 1. E-7 Visa Approval Application; 2. E-7 Visa Consular Application; 3. Alien Registration Card Application [E-7 Visa for Local Hire]; 1. C-4 Visa Application [C-4 Short-Term Employment Visa],1. Visa Issuance Confirmation Number (VICN) Application; 2. D-7 Intra-Company Transferee Entry Visa Application; 3. Alien Registration Card Application [D-7 Visa for Intra-Company Transfer]; 1. D-8 Inter-Company Transfer Visa Application; 2. Alien Registration Card Application [D-8 Visa for Inter-Company Transfer]; 1. Visa Issuance Confirmation Number (VICN) Application; 2. D-9 Treaty Trader Entry Visa Application; 3. Alien Registration Card Application [D-9 Visa (Treaty Trader)]; 1. E-7 Visa Approval Application; 2. E-7 Visa Consular Application; 3. Alien Registration Card Application [E-7 Visa for Local Hire]; 1. C-4 Visa Application [C-4 Short-Term Employment Visa]
Spain,1. Residence Authorisation Application; 2. Residence Card Application [Intra-Company Transfer (Entrepreneurs’ Law) Application in Country]; 1. Residence Authorisation Application; 2. Residence Card Application [Highly Qualified Employees (Entrepreneurs’ Law) Application in Country]; 1. Residence Authorisation Application; 2. Visa Type D Application; 3. Residence Card Application [Intra-Company Transfer (Entrepreneurs’ Law) ]; 1. Residence Authorisation Application; 2. Visa Type D Application; 3. Residence Card Application [Highly Qualified Employees (Entrepreneurs’ Law)]; 1. Van der Elst Visa Application; 2. Posted Worker Notification; 3. Residence Card Application [Van der Elst Visa (Assignment from Within the EEA)]; 1. Residence Authorisation Application; 2. Residence Card Application [Intra-Company Transfer Permit (EU Directive 2014/66) Application in Country]; 1. Residence Authorisation Application; 2. Visa Type D Application; 3. Residence Card Application [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Local Hire Work Permit Application; 2. Visa Type D Application; 3. Social Security Registration; 4. Residence Card Application [Local Hire Work Permit (Smaller Companies) to Madrid],1. Residence Authorisation Application; 2. Residence Card Application [Intra-Company Transfer (Entrepreneurs’ Law) Application in Country]; 1. Residence Authorisation Application; 2. Residence Card Application [Highly Qualified Employees (Entrepreneurs’ Law) Application in Country]; 1. Residence Authorisation Application; 2. Visa Type D Application; 3. Residence Card Application [Intra-Company Transfer (Entrepreneurs’ Law) ]; 1. Residence Authorisation Application; 2. Visa Type D Application; 3. Residence Card Application [Highly Qualified Employees (Entrepreneurs’ Law)]; 1. Van der Elst Visa Application; 2. Posted Worker Notification; 3. Residence Card Application [Van der Elst Visa (Assignment from Within the EEA)]; 1. Residence Authorisation Application; 2. Residence Card Application [Intra-Company Transfer Permit (EU Directive 2014/66) Application in Country]; 1. Residence Authorisation Application; 2. Visa Type D Application; 3. Residence Card Application [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Local Hire Work Permit Application; 2. Visa Type D Application; 3. Social Security Registration; 4. Residence Card Application [Local Hire Work Permit (Smaller Companies) to Madrid]
Sri Lanka,1. Ministry Clearance; 2. Entry Visa Application; 3. Residence Visa Application [Residence Visa (Employment)],1. Ministry Clearance; 2. Entry Visa Application; 3. Residence Visa Application [Residence Visa (Employment)]
Sweden,1. ICT Permit Application; 2. Biometrics Appointment; 3. Local Registration and PIN [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Labour Market Test; 2. Work and Residence Permit Application; 3. Biometrics Appointment; 4. Local Registration and PIN; 5. Posted Worker Notification (If Applicable) [Work and Residence Permit]; 1. Labour Market Test; 2. Work Permit Application; 3. Biometrics Appointment; 4. Local Registration and PIN; 5. Posted Worker Notification (If Applicable) [Short-Term Work Permit (Up to 90 Days)]; 1. Posted Worker Notification (If Applicable) [Work Permit Exemption from Within EEA (Up to 90 Days)]; 1. Labour Market Test; 2. EU Blue Card Application; 3. Biometrics Appointment; 4. Local Registration and PIN [Blue Card (Blåkort)],1. ICT Permit Application; 2. Biometrics Appointment; 3. Local Registration and PIN [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Labour Market Test; 2. Work and Residence Permit Application; 3. Biometrics Appointment; 4. Local Registration and PIN; 5. Posted Worker Notification (If Applicable) [Work and Residence Permit]; 1. Labour Market Test; 2. Work Permit Application; 3. Biometrics Appointment; 4. Local Registration and PIN; 5. Posted Worker Notification (If Applicable) [Short-Term Work Permit (Up to 90 Days)]; 1. Posted Worker Notification (If Applicable) [Work Permit Exemption from Within EEA (Up to 90 Days)]; 1. Labour Market Test; 2. EU Blue Card Application; 3. Biometrics Appointment; 4. Local Registration and PIN [Blue Card (Blåkort)]
